sent2,1,5,1,1677965275.497935
sent,1,4,2,1677965275.5002549
sent,1,1,3,1677965275.503337
recv,1,0,4,1677965276.4934459
sent2,1,6,5,1677965276.4944708
internal,1,7,6,1677965276.494615
recv,1,0,7,1677965277.498094
sent,1,1,8,1677965277.498822
internal,1,8,9,1677965277.498966
recv,1,0,10,1677965278.5007958
internal,1,8,11,1677965278.500981
sent2,1,5,12,1677965278.502233
recv,1,0,13,1677965279.503621
sent,1,3,14,1677965279.504339
internal,1,10,15,1677965279.504478
recv,1,0,16,1677965280.508312
sent,1,3,17,1677965280.509071
sent,1,4,18,1677965280.509585
recv,1,0,19,1677965281.50876
internal,1,7,20,1677965281.5089478
internal,1,8,21,1677965281.5093749
recv,1,0,22,1677965282.5106921
sent,1,3,23,1677965282.5114849
internal,1,10,24,1677965282.5116282
recv,1,0,25,1677965283.510975
internal,1,9,26,1677965283.511151
internal,1,10,27,1677965283.511638
recv,1,0,28,1677965284.515811
internal,1,10,29,1677965284.515998
sent2,1,5,30,1677965284.5172741
recv,1,0,31,1677965285.5161111
internal,1,10,32,1677965285.516298
internal,1,8,33,1677965285.5167282
recv,1,0,34,1677965286.520632
internal,1,9,35,1677965286.5208309
internal,1,8,36,1677965286.521305
recv,1,0,37,1677965287.5215309
sent,1,3,38,1677965287.5221992
internal,1,8,39,1677965287.52234
recv,1,0,40,1677965288.522177
sent,1,1,41,1677965288.5231302
sent,1,3,42,1677965288.5236402
recv,1,0,43,1677965289.522736
sent,1,2,44,1677965289.523563
internal,1,9,45,1677965289.523702
recv,1,0,46,1677965290.523309
sent,1,3,47,1677965290.524103
sent,1,4,48,1677965290.524758
recv,1,0,49,1677965291.528148
sent,1,4,50,1677965291.5288699
sent,1,3,51,1677965291.5295172
recv,1,0,52,1677965292.528548
sent,1,4,53,1677965292.529441
internal,1,9,54,1677965292.529581
recv,1,0,55,1677965293.528973
internal,1,9,56,1677965293.529164
internal,1,7,57,1677965293.529568
recv,1,0,58,1677965294.529424
internal,1,9,59,1677965294.5296068
internal,1,9,60,1677965294.530036
recv,1,0,61,1677965295.534024
internal,1,7,62,1677965295.534217
internal,1,8,63,1677965295.534682
recv,1,0,64,1677965296.537958
sent,1,1,65,1677965296.538775
internal,1,9,66,1677965296.53892
recv,1,0,67,1677965297.5422878
internal,1,9,68,1677965297.542472
sent2,1,6,69,1677965297.543754
recv,1,0,70,1677965298.545377
internal,1,7,71,1677965298.545603
internal,1,8,72,1677965298.546083
recv,1,0,73,1677965299.5486982
sent2,1,5,74,1677965299.549921
sent,1,4,75,1677965299.550539
recv,1,0,76,1677965300.548927
sent,1,3,77,1677965300.549669
internal,1,8,78,1677965300.549814
recv,1,0,79,1677965301.551862
sent2,1,6,80,1677965301.55302
sent,1,1,81,1677965301.553588
recv,1,0,82,1677965302.5557709
sent2,1,6,83,1677965302.5569348
internal,1,9,84,1677965302.557081
recv,1,0,85,1677965303.559942
internal,1,7,86,1677965303.560149
internal,1,7,87,1677965303.560352
